"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
6,,0.000000,1.900000,0,52,0,184549377,,1.000000
5,,0.000000,1.540541,0,75,0,184549377,,1.000000
4,,0.000000,1.678571,0,107,0,184549377,,1.000000
3,,0.000000,0.625000,0,126,0,184549377,,1.000000
2,,13.186111,13.416667,0,731,0,184549377,yes,1.000000
1,,5.052273,5.113636,0,750,0,184549377,yes,1.000000
