"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
80,1.25501,0.555009,35,70,474,54,70,350,0.113924,1.01237e-13,1.19904e-14,1,1
81,1.24671,0.746712,30,50,474,50,50,374,0.105485,0,0,0,1
82,1.2637,0.663702,31,60,474,48,60,366,0.101266,0,0,0,1
83,1.35412,0.764119,31,59,474,47,59,368,0.0991561,0,0,0,1
84,1.26577,0.625773,32,64,474,50,64,360,0.105485,0,0,0,1
85,1.2737,0.663702,32,61,474,49,61,364,0.103376,0,0,0,1
86,1.25747,0.597469,34,66,474,53,66,355,0.111814,0,0,0,1
87,1.2637,0.663702,29,60,474,44,60,370,0.092827,0,0,0,1
88,1.24747,0.597469,33,65,474,51,65,358,0.107595,8.43641e-14,9.99201e-15,1,1
89,1.23671,0.746712,31,49,474,50,49,375,0.105485,0,0,0,1
90,1.37332,0.803324,32,57,474,51,57,366,0.107595,0,0,0,1
91,1.2637,0.663702,33,60,474,52,60,362,0.109705,0,0,0,1
92,1.23671,0.746712,32,49,474,52,49,373,0.109705,0,0,0,1
93,1.24747,0.597469,33,65,474,50,65,359,0.105485,0,0,0,1
94,1.25501,0.555009,32,70,474,49,70,355,0.103376,0,0,0,1
95,1.2637,0.663702,30,60,474,46,60,368,0.0970464,7.12408e-14,8.43769e-15,1,1
96,1.23671,0.746712,30,49,474,49,49,376,0.103376,0,0,0,1
97,1.36332,0.803324,31,56,474,49,56,369,0.103376,0,0,0,1
98,1.36332,0.803324,32,56,474,50,56,368,0.105485,0,0,0,1
99,1.27162,0.611621,34,66,474,51,66,357,0.107595,0,0,0,1
100,1.56036,0.990356,25,57,474,29,57,388,0.0611814,0,0,0,1
