"planning_unit","number"
217,29
216,29
215,29
214,29
213,29
212,29
211,29
210,29
209,29
208,71
207,71
204,71
203,71
201,29
200,29
199,29
198,29
195,71
194,75
192,45
191,41
190,41
189,29
188,29
187,29
186,29
185,29
184,29
183,39
182,40
181,40
179,40
177,40
176,40
175,40
174,40
173,40
172,39
171,29
170,29
169,29
168,40
167,40
166,40
165,40
164,40
163,40
162,40
161,40
160,40
159,40
158,40
157,29
156,40
155,40
153,40
152,40
143,27
140,11
135,27
134,27
133,27
132,27
131,27
130,27
129,27
128,27
127,27
126,27
124,14
123,14
121,14
120,14
119,14
118,14
117,27
116,27
115,27
114,27
113,27
112,27
109,27
108,27
107,27
106,27
105,27
104,27
103,14
102,14
101,14
100,14
99,14
98,14
97,14
96,14
91,65
89,54
86,14
85,14
84,14
83,14
82,14
81,14
78,11
76,11
75,11
74,14
71,29
70,29
69,29
68,32
67,11
66,11
65,11
64,11
63,11
62,29
61,29
60,11
59,11
58,11
57,11
56,14
55,11
54,11
53,29
52,29
51,29
50,29
49,14
48,14
47,14
46,14
45,14
44,14
43,29
42,29
41,29
40,29
39,29
38,29
37,14
36,14
35,14
34,14
33,29
32,29
31,29
30,29
29,29
28,25
26,14
25,14
24,14
23,14
22,25
21,24
20,24
19,27
18,27
17,27
16,27
14,15
13,27
12,27
11,27
10,27
9,27
8,27
7,27
6,27
5,27
4,27
3,27
2,65
1,67
