"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
6,,58.737500,96.050000,0,337,0,184549377,yes,1.000000
5,,52.251351,101.621622,0,346,0,184549377,yes,1.000000
4,,49.807143,88.000000,0,357,0,184549377,yes,1.000000
3,,49.362500,81.166667,0,369,0,184549377,yes,1.000000
2,,13.186111,14.722222,0,721,0,184549377,yes,1.000000
1,,5.052273,5.090909,0,730,0,184549377,yes,1.000000
