"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
6,,58.737500,99.725000,0,284,0,184549377,yes,1.000000
5,,52.251351,97.216216,0,290,0,184549377,yes,1.000000
4,,49.807143,83.107143,0,313,0,184549377,yes,1.000000
3,,49.362500,102.000000,0,330,0,184549377,yes,1.000000
2,,13.186111,14.611111,0,704,0,184549377,yes,1.000000
1,,5.052273,5.090909,0,722,0,184549377,yes,1.000000
