"planning_unit","number"
1490,41
1489,41
1488,41
1487,41
1486,42
1485,42
1484,42
1483,42
1482,42
1481,42
1480,43
1479,43
1478,43
1477,43
1476,43
1475,43
1474,41
1473,41
1472,41
1471,41
1470,42
1469,42
1468,42
1467,42
1466,42
1465,42
1464,43
1463,43
1462,43
1461,43
1460,43
1459,43
1458,41
1457,41
1456,41
1455,42
1454,42
1453,42
1452,42
1451,42
1450,42
1449,43
1448,43
1447,43
1446,43
1445,43
1444,43
1443,41
1442,41
1441,41
1440,42
1439,42
1438,42
1437,42
1436,42
1435,42
1434,43
1433,43
1432,43
1431,43
1430,43
1429,43
1428,40
1427,40
1426,40
1425,41
1424,41
1423,41
1422,41
1421,41
1420,41
1419,42
1418,42
1417,42
1416,42
1415,42
1414,42
1413,38
1412,38
1411,39
1410,39
1409,39
1408,39
1407,39
1406,39
1405,39
1404,39
1403,39
1402,39
1401,39
1400,39
1399,38
1398,38
1397,39
1396,39
1395,39
1394,39
1393,39
1392,39
1391,39
1390,39
1389,39
1388,39
1387,39
1386,39
1385,41
1384,41
1383,41
1382,41
1381,41
1380,41
1379,41
1378,41
1377,41
1376,41
1375,41
1374,41
1373,41
1372,43
1371,43
1370,43
1369,43
1368,43
1367,43
1366,43
1365,43
1364,43
1363,43
1362,43
1361,43
1360,43
1359,40
1358,40
1357,40
1356,40
1355,40
1354,40
1353,40
1352,40
1351,40
1350,40
1349,40
1348,40
1347,40
1346,40
1345,40
1344,40
1343,40
1342,40
1341,40
1340,40
1339,40
1338,40
1337,40
1336,40
1335,40
1334,40
1333,43
1332,43
1331,43
1330,43
1329,43
1328,43
1327,43
1326,42
1325,42
1324,42
1323,42
1322,42
1321,42
1320,44
1319,44
1318,44
1317,44
1316,44
1315,44
1314,44
1313,43
1312,43
1311,43
1310,43
1309,43
1308,43
1307,44
1306,44
1305,44
1304,44
1303,44
1302,44
1301,44
1300,43
1299,43
1298,43
1297,43
1296,43
1295,43
1294,43
1293,43
1292,43
1291,43
1290,44
1289,44
1288,44
1287,43
1286,43
1285,43
1284,43
1283,43
1282,43
1281,42
1280,42
1279,41
1278,41
1277,41
1276,41
1275,41
1274,40
1273,41
1272,41
1271,41
1270,41
1269,41
1268,43
1267,43
1266,41
1265,41
1264,41
1263,41
1262,41
1261,40
1260,40
1259,40
1258,40
1257,40
1256,40
1255,44
1254,41
1253,41
1252,41
1251,41
1250,41
1249,41
1248,40
1247,40
1246,40
1245,40
1244,40
1243,40
1242,39
1241,37
1240,37
1239,37
1238,37
1237,37
1236,37
1235,36
1234,36
1233,36
1232,36
1231,36
1230,36
1229,36
1228,36
1227,36
1226,36
1225,36
1224,36
1223,36
1222,35
1221,35
1220,36
1219,36
1218,36
1217,36
1216,23
1215,26
1214,26
1213,27
1212,27
1211,27
1210,27
1209,27
1208,26
1207,26
1206,27
1205,27
1204,27
1203,27
1202,23
1201,27
1200,27
1199,27
1198,27
1197,27
1196,27
1195,27
1194,27
1193,27
1192,28
1191,28
1190,28
1189,28
1188,45
1187,23
1186,27
1185,27
1184,27
1183,27
1182,27
1181,27
1180,27
1179,27
1178,27
1177,28
1176,28
1175,28
1174,28
1173,45
1172,33
1171,33
1170,33
1169,33
1168,33
1167,33
1166,33
1165,33
1164,33
1163,34
1162,34
1161,34
1160,34
1159,42
1158,34
1157,34
1156,34
1155,34
1154,34
1153,34
1152,34
1151,34
1150,34
1149,35
1148,35
1147,35
1146,35
1145,39
1144,39
1143,39
1142,40
1141,35
1140,35
1139,35
1138,35
1137,35
1136,35
1135,35
1134,35
1133,35
1132,36
1131,36
1130,36
1129,36
1128,39
1127,39
1126,39
1125,40
1124,36
1123,36
1122,36
1121,36
1120,36
1119,36
1118,36
1117,36
1116,36
1115,37
1114,37
1113,37
1112,37
1111,28
1110,28
1109,29
1108,29
1107,37
1106,37
1105,37
1104,37
1103,37
1102,38
1101,38
1100,38
1099,38
1098,39
1097,39
1096,39
1095,39
1094,28
1093,28
1092,28
1091,28
1090,28
1089,34
1088,34
1087,34
1086,34
1085,34
1084,34
1083,34
1082,34
1081,34
1080,34
1079,35
1078,35
1077,35
1076,35
1075,28
1074,28
1073,26
1072,26
1071,24
1070,24
1069,42
1068,36
1067,36
1066,36
1065,36
1064,36
1063,36
1062,36
1061,36
1060,36
1059,36
1058,36
1057,36
1056,36
1055,36
1054,28
1053,28
1052,26
1051,26
1050,24
1049,24
1048,31
1047,35
1046,30
1045,30
1044,28
1043,28
1042,28
1041,28
1040,28
1039,28
1038,28
1037,29
1036,30
1035,30
1034,30
1033,30
1032,19
