"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
82,21.9659,7.9659,52,14,474,136,14,324,0.28692,0,0,0,1
83,30.3302,4.33015,42,26,474,89,26,359,0.187764,0,0,0,1
84,21.9846,12.9846,72,9,474,196,9,269,0.413502,0,0,0,1
85,30.5834,13.5834,48,17,474,129,17,328,0.272152,0,0,0,1
86,30.692,5.69202,60,25,474,136,25,313,0.28692,0,0,0,1
87,21.9846,12.9846,72,9,474,196,9,269,0.413502,0,0,0,1
88,26.3836,5.38364,61,21,474,147,21,306,0.310127,0,0,0,1
89,21.9659,7.9659,52,14,474,136,14,324,0.28692,0,0,0,1
90,25.7802,3.78019,64,22,474,153,22,299,0.322785,0,0,0,1
91,30.816,8.81598,53,22,474,126,22,326,0.265823,0,0,0,1
92,21.9846,12.9846,72,9,474,196,9,269,0.413502,0,0,0,1
93,21.9846,12.9846,72,9,474,196,9,269,0.413502,0,0,0,1
94,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
95,30.692,5.69202,60,25,474,136,25,313,0.28692,0,0,0,1
96,21.9659,7.9659,52,14,474,136,14,324,0.28692,0,0,0,1
97,21.9659,7.9659,53,14,474,138,14,322,0.291139,0,0,0,1
98,27.2853,7.2853,48,20,474,105,20,349,0.221519,0,0,0,1
99,27.0254,5.02537,67,22,474,162,22,290,0.341772,0,0,0,1
100,25.7802,3.78019,64,22,474,153,22,299,0.322785,0,0,0,1
