"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2,,5.258667,5.420000,0,82,0,184549377,yes,1.000000
1,,1.560000,1.826667,0,75,0,184549377,yes,1.000000
