id,cost,status
181,1,0
129,1,0
130,1,0
103,1,0
75,1,0
263,1,0
264,1,0
238,1,0
237,1,0
236,1,0
209,1,0
211,1,0
212,1,0
186,1,0
185,1,0
184,1,0
160,1,0
455,1,0
348,1,0
327,1,0
300,1,0
301,1,0
274,1,0
248,1,0
223,1,0
276,1,0
277,1,0
251,1,0
250,1,0
224,1,0
225,1,0
228,1,0
229,1,0
201,1,0
200,1,0
199,1,0
198,1,0
173,1,0
174,1,0
177,1,0
178,1,0
179,1,0
180,1,0
155,1,0
154,1,0
153,1,0
152,1,0
151,1,0
148,1,0
147,1,0
122,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
102,1,0
101,1,0
267,1,0
268,1,0
241,1,0
240,1,0
239,1,0
213,1,0
187,1,0
299,2,0
275,2,0
249,2,0
175,2,0
176,2,0
150,2,0
149,2,0
325,2,0
428,3,0
403,6,0
378,7,0
375,7,0
351,7,0
352,7,0
377,8,0
349,8,0
323,8,0
322,8,0
296,8,0
297,8,0
271,8,0
270,8,0
244,8,0
245,8,0
219,8,0
218,8,0
192,8,0
166,8,0
269,8,0
214,8,0
217,8,0
191,8,0
190,8,0
189,8,0
188,8,0
163,8,0
164,8,0
165,8,0
215,8,0
324,9,0
298,9,0
222,9,0
161,9,0
197,10,0
171,10,0
172,10,0
162,10,0
146,11,0
121,11,0
95,11,0
195,12,0
169,12,0
402,13,0
376,13,0
196,13,0
170,13,0
350,14,0
273,14,0
220,16,0
194,16,0
167,16,0
140,16,0
141,16,0
139,16,0
193,17,0
138,17,0
137,17,0
246,18,0
272,20,0
62,22,0
36,22,0
158,22,0
132,22,0
106,22,0
81,22,0
55,22,0
56,22,0
57,22,0
58,22,0
59,22,0
60,22,0
61,22,0
35,22,0
37,22,0
159,22,0
88,31,0
134,31,0
133,31,0
107,31,0
87,31,0
86,31,0
85,31,0
84,31,0
82,31,0
83,31,0
108,31,0
109,31,0
34,55,0
33,55,0
32,55,0
31,55,0
91,78,0
92,78,0
67,78,0
66,78,0
39,78,0
40,78,0
41,78,0
93,79,0
117,87,0
116,87,0
119,88,0
118,88,0
94,88,0
145,89,0
143,90,0
144,91,0
64,100,0
63,100,0
89,109,0
14,111,0
