"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2,,1.314667,13.146667,0,97,0,184549377,yes,1.000000
1,,0.780000,7.800000,0,111,0,184549377,yes,1.000000
