"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2,,1.314667,1.833333,0,76,0,184549377,yes,1.000000
1,,0.780000,2.426667,0,80,0,184549377,yes,1.000000
