"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2,,1.314667,1.280000,0,79,0,184549377,no,0.973631
1,,0.780000,0.800000,0,58,0,184549377,yes,1.000000
