"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
426,0.8586,0.3886,40,47,2830,36,47,2747,0.0127208,0,0,0,1
427,0.72066,0.27066,41,45,2830,39,45,2746,0.0137809,0,0,0,1
428,0.777759,0.327759,37,45,2830,32,45,2753,0.0113074,0,0,0,1
429,0.849695,0.399695,39,45,2830,36,45,2749,0.0127208,0,0,0,1
430,0.703181,0.323181,38,38,2830,37,38,2755,0.0130742,0,0,0,1
431,0.781178,0.351178,38,43,2830,35,43,2752,0.0123675,0,0,0,1
432,0.781715,0.321715,39,46,2830,35,46,2749,0.0123675,0,0,0,1
433,0.790563,0.410563,41,38,2830,43,38,2749,0.0151943,0,0,0,1
434,0.793946,0.383946,38,41,2830,37,41,2752,0.0130742,0,0,0,1
435,0.7864,0.3164,39,47,2830,34,47,2749,0.0120141,0,0,0,1
436,0.783579,0.341255,37,44,2830,35,44,2751,0.0123675,0.00232438,0.00555556,1,0.999579
437,0.879531,0.419531,40,46,2830,36,46,2748,0.0127208,0,0,0,1
438,0.713632,0.283632,39,43,2830,37,43,2750,0.0130742,0,0,0,1
439,0.822519,0.422519,38,40,2830,36,40,2754,0.0127208,0,0,0,1
440,0.76388,0.36388,38,40,2830,37,40,2753,0.0130742,0,0,0,1
441,0.806953,0.354629,39,45,2830,34,45,2751,0.0120141,0.00232438,0.00555556,1,0.999579
442,0.782913,0.332913,40,45,2830,37,45,2748,0.0130742,0,0,0,1
443,0.863866,0.433866,36,43,2830,34,43,2753,0.0120141,0,0,0,1
444,0.882021,0.402021,39,48,2830,35,48,2747,0.0123675,0,0,0,1
445,0.791292,0.301292,42,49,2830,39,49,2742,0.0137809,0,0,0,1
446,0.84571,0.42571,39,42,2830,36,42,2752,0.0127208,0,0,0,1
447,0.860558,0.340558,38,52,2830,31,52,2747,0.0109541,0,0,0,1
448,0.733712,0.313712,38,42,2830,35,42,2753,0.0123675,0,0,0,1
449,0.720875,0.270875,41,45,2830,38,45,2747,0.0134276,0,0,0,1
450,0.815761,0.415761,33,40,2830,28,40,2762,0.00989399,0,0,0,1
451,0.748904,0.328904,39,42,2830,37,42,2751,0.0130742,0,0,0,1
452,0.831415,0.361415,40,47,2830,37,47,2746,0.0130742,0,0,0,1
453,0.784418,0.344418,38,44,2830,36,44,2750,0.0127208,0,0,0,1
454,0.87105,0.40105,36,47,2830,28,47,2755,0.00989399,0,0,0,1
455,0.727173,0.277173,40,45,2830,37,45,2748,0.0130742,0,0,0,1
456,0.780148,0.347824,37,43,2830,35,43,2752,0.0123675,0.00232438,0.00555556,1,0.999579
457,0.885413,0.375413,40,51,2830,35,51,2744,0.0123675,0,0,0,1
458,0.779607,0.339607,39,44,2830,36,44,2750,0.0127208,0,0,0,1
459,0.775179,0.325179,34,45,2830,30,45,2755,0.0106007,0,0,0,1
460,0.865035,0.435035,36,43,2830,32,43,2755,0.0113074,0,0,0,1
461,0.700922,0.290922,39,41,2830,38,41,2751,0.0134276,0,0,0,1
462,0.7215,0.3015,40,42,2830,38,42,2750,0.0134276,0,0,0,1
463,0.775876,0.355876,40,42,2830,37,42,2751,0.0130742,0,0,0,1
464,0.800754,0.420754,39,38,2830,38,38,2754,0.0134276,0,0,0,1
465,0.715093,0.305093,41,41,2830,40,41,2749,0.0141343,0,0,0,1
466,0.768958,0.318958,41,45,2830,38,45,2747,0.0134276,0,0,0,1
467,0.772235,0.372235,39,40,2830,39,40,2751,0.0137809,0,0,0,1
468,0.853849,0.343849,35,51,2830,29,51,2750,0.0102473,0,0,0,1
469,0.845091,0.295091,37,55,2830,28,55,2747,0.00989399,0,0,0,1
470,0.730416,0.270416,38,46,2830,34,46,2750,0.0120141,0,0,0,1
471,0.744592,0.314592,38,43,2830,34,43,2753,0.0120141,0,0,0,1
472,0.749233,0.299233,39,45,2830,35,45,2750,0.0123675,0,0,0,1
473,0.747697,0.337697,39,41,2830,37,41,2752,0.0130742,0,0,0,1
474,0.826981,0.326981,37,50,2830,30,50,2750,0.0106007,0,0,0,1
475,0.756816,0.286816,41,47,2830,39,47,2744,0.0137809,0,0,0,1
476,0.727893,0.307893,40,42,2830,38,42,2750,0.0134276,0,0,0,1
477,0.799111,0.309111,38,49,2830,33,49,2748,0.0116608,0,0,0,1
478,0.832201,0.322201,46,51,2830,43,51,2736,0.0151943,0,0,0,1
479,0.740758,0.360758,39,38,2830,38,38,2754,0.0134276,0,0,0,1
480,0.76267,0.30267,43,46,2830,39,46,2745,0.0137809,0,0,0,1
481,0.886818,0.326818,41,56,2830,35,56,2739,0.0123675,0,0,0,1
482,0.778621,0.338621,39,44,2830,36,44,2750,0.0127208,0,0,0,1
483,0.800019,0.320019,41,48,2830,37,48,2745,0.0130742,0,0,0,1
484,0.882259,0.432259,39,45,2830,35,45,2750,0.0123675,0,0,0,1
485,0.761616,0.261616,33,50,2830,25,50,2755,0.00883392,0,0,0,1
486,0.692779,0.302779,39,39,2830,39,39,2752,0.0137809,0,0,0,1
487,0.802132,0.282132,35,52,2830,27,52,2751,0.00954064,0,0,0,1
488,0.734715,0.404715,37,33,2830,37,33,2760,0.0130742,0,0,0,1
489,0.737888,0.275564,41,46,2830,39,46,2745,0.0137809,0.00232438,0.00555556,1,0.999579
490,0.709883,0.299883,39,41,2830,39,41,2750,0.0137809,0,0,0,1
491,0.810567,0.280567,36,53,2830,29,53,2748,0.0102473,0,0,0,1
492,0.768055,0.308055,42,46,2830,40,46,2744,0.0141343,0,0,0,1
493,0.688571,0.278571,41,41,2830,40,41,2749,0.0141343,0,0,0,1
494,0.748121,0.278121,34,47,2830,28,47,2755,0.00989399,0,0,0,1
495,0.75325,0.33325,37,42,2830,33,42,2755,0.0116608,0,0,0,1
496,0.707273,0.309138,40,39,2830,39,39,2752,0.0137809,0.00813533,0.0194444,1,0.998525
497,0.809986,0.339986,41,47,2830,38,47,2745,0.0134276,0,0,0,1
498,0.722444,0.302444,42,42,2830,42,42,2746,0.014841,0,0,0,1
499,0.818303,0.388303,35,43,2830,31,43,2756,0.0109541,0,0,0,1
500,0.82308,0.39308,42,43,2830,40,43,2747,0.0141343,0,0,0,1
