"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2,,5.932125,18.422903,0,700,0,184549377,yes,1.000000
1,,0.853247,3.439974,0,722,0,184549377,yes,1.000000
