"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
6,,0.000000,1.325000,0,52,0,184549377,,1.000000
5,,0.000000,1.162162,0,69,0,184549377,,1.000000
4,,0.000000,1.607143,0,99,0,184549377,,1.000000
3,,0.000000,0.416667,0,125,0,184549377,,1.000000
2,,13.186111,13.361111,0,692,0,184549377,yes,1.000000
1,,5.052273,5.068182,0,702,0,184549377,yes,1.000000
