"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
6,,58.737500,51.600000,0,214,0,184549377,no,0.878485
5,,52.251351,52.297297,0,235,0,184549377,yes,1.000000
4,,49.807143,50.178571,0,263,0,184549377,yes,1.000000
3,,49.362500,53.625000,0,282,0,184549377,yes,1.000000
2,,13.186111,13.069444,0,739,0,184549377,no,0.991152
1,,5.052273,5.068182,0,755,0,184549377,yes,1.000000
