,effort,latitude,longitude,geometry,labels
74,1.2652572237127159e-09,9364000.0,515000.0,POINT (515000 9364000),75
75,1.2652572237127159e-09,9364000.0,515500.0,POINT (515500 9364000),76
76,1.2652572237127159e-09,9364000.0,516000.0,POINT (516000 9364000),77
77,1.2652572237127159e-09,9364000.0,516500.0,POINT (516500 9364000),78
78,1.2652572237127159e-09,9364000.0,517000.0,POINT (517000 9364000),79
79,4.377566931091091e-09,9364000.0,517500.0,POINT (517500 9364000),80
80,4.377566931091091e-09,9364000.0,518000.0,POINT (518000 9364000),81
81,5.0992298691658024e-09,9364000.0,518500.0,POINT (518500 9364000),82
82,1.8480469124607438e-09,9364000.0,519000.0,POINT (519000 9364000),83
83,5.2306651560338266e-09,9364000.0,519500.0,POINT (519500 9364000),84
84,1.244591950689986e-08,9364000.0,520000.0,POINT (520000 9364000),85
85,1.3558078803897362e-08,9364000.0,520500.0,POINT (520500 9364000),86
86,1.3558078803897362e-08,9364000.0,521000.0,POINT (521000 9364000),87
87,1.362209823576797e-08,9364000.0,521500.0,POINT (521500 9364000),88
88,1.2186368171471234e-08,9364000.0,522000.0,POINT (522000 9364000),89
89,1.1086629858606381e-08,9364000.0,522500.0,POINT (522500 9364000),90
90,5.874865279760323e-08,9364000.0,523000.0,POINT (523000 9364000),91
91,1.07762615558335e-08,9364000.0,523500.0,POINT (523500 9364000),92
92,1.2367826219113635e-08,9364000.0,524000.0,POINT (524000 9364000),93
93,1.1173250973083512e-08,9364000.0,524500.0,POINT (524500 9364000),94
94,1.3592237307887517e-07,9364000.0,525000.0,POINT (525000 9364000),95
95,1.774961377515667e-07,9364000.0,525500.0,POINT (525500 9364000),96
96,2.634267527054592e-08,9364000.0,526000.0,POINT (526000 9364000),97
97,7.255595176807108e-10,9364000.0,526500.0,POINT (526500 9364000),98
98,2.7899093823146868e-09,9364000.0,527000.0,POINT (527000 9364000),99
99,8.42052900246349e-08,9364000.0,527500.0,POINT (527500 9364000),100
100,9.592491766109137e-08,9364000.0,528000.0,POINT (528000 9364000),101
101,9.592491766109137e-08,9364000.0,528500.0,POINT (528500 9364000),102
102,2.904185006349399e-09,9364000.0,529000.0,POINT (529000 9364000),103
103,7.255595176807108e-10,9364000.0,529500.0,POINT (529500 9364000),104
104,6.9706234103641925e-09,9364000.0,530000.0,POINT (530000 9364000),105
105,1.1440854073285803e-07,9364000.0,530500.0,POINT (530500 9364000),106
106,1.1372117766934082e-07,9364000.0,531000.0,POINT (531000 9364000),107
107,5.711775915980068e-08,9364000.0,531500.0,POINT (531500 9364000),108
108,3.2755723145712563e-09,9363500.0,514000.0,POINT (514000 9363500),109
109,5.989998680437884e-09,9363500.0,514500.0,POINT (514500 9363500),110
110,5.989998680437884e-09,9363500.0,515000.0,POINT (515000 9363500),111
111,1.0714740137163053e-08,9363500.0,515500.0,POINT (515500 9363500),112
