,effort,latitude,longitude
0,3.318709620418765e-07,9365000.0,514000.0
1,3.318709620418765e-07,9365000.0,514500.0
2,3.318709620418765e-07,9365000.0,515000.0
3,3.318709620418765e-07,9365000.0,515500.0
4,3.318709620418765e-07,9365000.0,516000.0
5,3.318709620418765e-07,9365000.0,516500.0
6,3.318709620418765e-07,9365000.0,517000.0
7,3.318709620418765e-07,9365000.0,517500.0
8,3.318709620418765e-07,9365000.0,518000.0
9,1.2205628834858507e-08,9365000.0,518500.0
10,1.2205628834858507e-08,9365000.0,519000.0
11,5.609394485863404e-07,9365000.0,519500.0
12,2.1470890153816474e-06,9365000.0,520000.0
13,2.1470890153816474e-06,9365000.0,520500.0
14,7.225752129399687e-08,9365000.0,521000.0
15,7.225752129399687e-08,9365000.0,521500.0
16,7.225752129399687e-08,9365000.0,522000.0
17,7.225752129399687e-08,9365000.0,522500.0
18,7.225752129399687e-08,9365000.0,523000.0
19,3.6128760646998436e-08,9365000.0,523500.0
20,0.0,9365000.0,524000.0
21,0.0,9365000.0,524500.0
22,0.0,9365000.0,525000.0
23,0.0,9365000.0,525500.0
24,2.1766785530421322e-07,9365000.0,526000.0
25,2.1766785530421322e-07,9365000.0,526500.0
26,2.1766785530421322e-07,9365000.0,527000.0
27,4.0447078464616587e-07,9365000.0,527500.0
28,6.090370607036631e-07,9365000.0,528000.0
29,4.0447078464616587e-07,9365000.0,528500.0
30,4.0447078464616587e-07,9365000.0,529000.0
31,2.1766785530421322e-07,9365000.0,529500.0
32,2.1766785530421322e-07,9365000.0,530000.0
33,2.1766785530421322e-07,9365000.0,530500.0
34,2.1766785530421322e-07,9365000.0,531000.0
35,0.0,9365000.0,531500.0
36,3.318709620418765e-07,9364500.0,514000.0
37,3.318709620418765e-07,9364500.0,514500.0
38,3.318709620418765e-07,9364500.0,515000.0
39,3.318709620418765e-07,9364500.0,515500.0
40,3.318709620418765e-07,9364500.0,516000.0
41,3.318709620418765e-07,9364500.0,516500.0
42,3.318709620418765e-07,9364500.0,517000.0
43,3.318709620418765e-07,9364500.0,517500.0
44,3.318709620418765e-07,9364500.0,518000.0
45,1.7203829543836748e-07,9364500.0,518500.0
46,1.2205628834858507e-08,9364500.0,519000.0
47,2.1470890153816474e-06,9364500.0,519500.0
48,2.1470890153816474e-06,9364500.0,520000.0
49,2.1470890153816474e-06,9364500.0,520500.0
50,2.1470890153816474e-06,9364500.0,521000.0
51,8.128567002200756e-07,9364500.0,521500.0
52,1.5534558791461544e-06,9364500.0,522000.0
53,1.5534558791461544e-06,9364500.0,522500.0
54,7.225752129399687e-08,9364500.0,523000.0
55,0.0,9364500.0,523500.0
56,0.0,9364500.0,524000.0
57,0.0,9364500.0,524500.0
58,0.0,9364500.0,525000.0
59,0.0,9364500.0,525500.0
60,2.1766785530421322e-07,9364500.0,526000.0
61,2.1766785530421322e-07,9364500.0,526500.0
62,2.1766785530421322e-07,9364500.0,527000.0
