"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
6,,58.737500,58.700000,0,135,0,184549377,no,0.999362
5,,52.251351,62.729730,0,159,0,184549377,yes,1.000000
4,,49.807143,55.642857,0,182,0,184549377,yes,1.000000
3,,49.362500,57.000000,0,212,0,184549377,yes,1.000000
2,,13.186111,13.166667,0,680,0,184549377,no,0.998525
1,,5.052273,5.159091,0,691,0,184549377,yes,1.000000
