"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
6,,58.737500,58.825000,0,143,0,184549377,yes,1.000000
5,,52.251351,61.972973,0,165,0,184549377,yes,1.000000
4,,49.807143,53.571429,0,199,0,184549377,yes,1.000000
3,,49.362500,58.833333,0,223,0,184549377,yes,1.000000
2,,13.186111,13.208333,0,730,0,184549377,yes,1.000000
1,,5.052273,5.068182,0,739,0,184549377,yes,1.000000
