"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,0.133297,0.0522971,178,81,2830,279,81,2470,0.0985866,0,0,0,1
2,0.134703,0.0597034,124,75,2830,184,75,2571,0.0650177,0,0,0,1
3,0.131791,0.0587254,131,73,2830,200,73,2557,0.0706714,6.58873e-05,0.0125,1,0.999787
4,0.12585,0.0538499,143,72,2830,222,72,2536,0.0784452,0,0,0,1
5,0.129943,0.0589435,136,71,2830,208,71,2551,0.0734982,0,0,0,1
6,0.134509,0.0574428,164,77,2830,260,77,2493,0.0918728,6.58873e-05,0.0125,1,0.999787
7,0.161382,0.0683825,197,93,2830,306,93,2431,0.108127,0,0,0,1
8,0.127449,0.0574485,144,70,2830,225,70,2535,0.0795053,0,0,0,1
9,0.131696,0.060696,175,71,2830,283,71,2476,0.1,0,0,0,1
10,0.148163,0.0691629,141,79,2830,211,79,2540,0.0745583,0,0,0,1
11,0.12663,0.0578165,129,68,2830,195,68,2567,0.0689046,0.000813533,0.0194444,1,0.998525
12,0.136932,0.0579319,131,79,2830,195,79,2556,0.0689046,0,0,0,1
13,0.141116,0.0571159,159,84,2830,245,84,2501,0.0865724,0,0,0,1
14,0.141993,0.063993,159,78,2830,251,78,2501,0.0886926,0,0,0,1
15,0.138543,0.060543,137,78,2830,204,78,2548,0.0720848,0,0,0,1
16,0.145826,0.0588261,174,87,2830,270,87,2473,0.0954064,0,0,0,1
17,0.135188,0.054188,142,81,2830,215,81,2534,0.0759717,0,0,0,1
18,0.13691,0.0569097,150,80,2830,228,80,2522,0.0805654,0,0,0,1
19,0.136909,0.0659089,154,71,2830,242,71,2517,0.0855124,0,0,0,1
20,0.133955,0.0549554,150,79,2830,236,79,2515,0.0833922,0,0,0,1
21,0.142421,0.0521887,180,90,2830,274,90,2466,0.0968198,0.000232438,0.00555556,1,0.999579
22,0.126533,0.0545333,134,72,2830,205,72,2553,0.0724382,0,0,0,1
23,0.136543,0.0585429,120,78,2830,173,78,2579,0.0611307,0,0,0,1
24,0.141385,0.0523853,144,89,2830,209,89,2532,0.0738516,0,0,0,1
25,0.138602,0.0505365,145,88,2830,216,88,2526,0.0763251,6.58873e-05,0.0125,1,0.999787
26,0.14789,0.0628901,181,85,2830,278,85,2467,0.0982332,0,0,0,1
27,0.128962,0.055896,150,73,2830,233,73,2524,0.0823322,6.58873e-05,0.0125,1,0.999787
28,0.139325,0.0553246,176,84,2830,271,84,2475,0.0957597,0,0,0,1
29,0.136272,0.0572724,185,79,2830,294,79,2457,0.103887,0,0,0,1
30,0.14931,0.0713101,122,78,2830,179,78,2573,0.0632509,0,0,0,1
31,0.127121,0.0631206,126,64,2830,193,64,2573,0.0681979,0,0,0,1
32,0.135674,0.0666737,122,69,2830,185,69,2576,0.065371,0,0,0,1
33,0.147725,0.0677253,155,80,2830,241,80,2509,0.085159,0,0,0,1
34,0.129568,0.055502,181,74,2830,290,74,2466,0.102473,6.58873e-05,0.0125,1,0.999787
35,0.130456,0.0584564,141,72,2830,218,72,2540,0.0770318,0,0,0,1
36,0.139551,0.0585508,191,81,2830,300,81,2449,0.106007,0,0,0,1
37,0.143152,0.0571519,156,86,2830,239,86,2505,0.0844523,0,0,0,1
38,0.143838,0.062838,126,81,2830,183,81,2566,0.0646643,0,0,0,1
39,0.134938,0.0569384,136,78,2830,199,78,2553,0.070318,0,0,0,1
40,0.142865,0.0568655,170,86,2830,258,86,2486,0.0911661,0,0,0,1
41,0.157127,0.0721273,117,85,2830,164,85,2581,0.0579505,0,0,0,1
42,0.132229,0.0652287,141,67,2830,219,67,2544,0.0773852,0,0,0,1
43,0.127523,0.0615229,124,66,2830,189,66,2575,0.0667845,0,0,0,1
44,0.143637,0.0566369,161,87,2830,249,87,2494,0.0879859,0,0,0,1
45,0.13496,0.055631,126,79,2830,186,79,2565,0.0657244,0.000329437,0.0625,1,0.998936
46,0.141828,0.0558278,201,86,2830,320,86,2424,0.113074,0,0,0,1
47,0.144879,0.0548788,148,90,2830,220,90,2520,0.0777385,0,0,0,1
48,0.133084,0.0570844,169,76,2830,264,76,2490,0.0932862,0,0,0,1
49,0.138177,0.0541767,142,84,2830,218,84,2528,0.0770318,0,0,0,1
50,0.137642,0.0586418,192,79,2830,306,79,2445,0.108127,0,0,0,1
51,0.128215,0.0551488,174,73,2830,277,73,2480,0.0978799,6.58873e-05,0.0125,1,0.999787
52,0.125383,0.0583835,117,67,2830,174,67,2589,0.0614841,0,0,0,1
53,0.139387,0.0483867,163,91,2830,243,91,2496,0.0858657,0,0,0,1
54,0.136618,0.0566183,137,80,2830,198,80,2552,0.0699647,0,0,0,1
55,0.133287,0.0552871,136,78,2830,206,78,2546,0.0727915,0,0,0,1
56,0.139305,0.0513053,145,88,2830,216,88,2526,0.0763251,0,0,0,1
57,0.139314,0.0593137,135,80,2830,205,80,2545,0.0724382,0,0,0,1
58,0.143191,0.0603772,137,82,2830,201,82,2547,0.0710247,0.000813533,0.0194444,1,0.998525
59,0.167767,0.0767671,135,91,2830,192,91,2547,0.0678445,0,0,0,1
60,0.135281,0.0612814,131,74,2830,196,74,2560,0.069258,0,0,0,1
61,0.128414,0.0544144,158,74,2830,246,74,2510,0.0869258,0,0,0,1
62,0.126165,0.0568357,127,69,2830,192,69,2569,0.0678445,0.000329437,0.0625,1,0.998936
63,0.13477,0.0567698,148,78,2830,235,78,2517,0.0830389,0,0,0,1
64,0.138711,0.0705132,168,68,2830,269,68,2493,0.095053,0.000197662,0.0375,1,0.999362
65,0.136841,0.0580275,120,78,2830,172,78,2580,0.0607774,0.000813533,0.0194444,1,0.998525
66,0.130123,0.0511225,137,79,2830,207,79,2544,0.0731449,0,0,0,1
67,0.133612,0.0677986,164,65,2830,260,65,2505,0.0918728,0.000813533,0.0194444,1,0.998525
68,0.136938,0.0578718,147,79,2830,223,79,2528,0.0787986,6.58873e-05,0.0125,1,0.999787
69,0.140693,0.0546926,126,86,2830,178,86,2566,0.0628975,0,0,0,1
70,0.135775,0.0587749,155,77,2830,238,77,2515,0.0840989,0,0,0,1
71,0.141609,0.0576094,189,84,2830,298,84,2448,0.1053,0,0,0,1
72,0.138632,0.0586317,185,80,2830,290,80,2460,0.102473,0,0,0,1
73,0.14353,0.0565305,158,87,2830,239,87,2504,0.0844523,0,0,0,1
74,0.140743,0.0587435,135,82,2830,199,82,2549,0.070318,0,0,0,1
75,0.133654,0.0593561,110,74,2830,160,74,2596,0.0565371,0.000298325,0.0180556,2,0.999579
76,0.141253,0.0612528,128,80,2830,189,80,2561,0.0667845,0,0,0,1
77,0.139086,0.0630856,146,76,2830,222,76,2532,0.0784452,0,0,0,1
78,0.124594,0.0565945,121,68,2830,182,68,2580,0.064311,0,0,0,1
79,0.139139,0.0550728,199,84,2830,316,84,2430,0.111661,6.58873e-05,0.0125,1,0.999787
80,0.138526,0.0635262,174,75,2830,280,75,2475,0.0989399,0,0,0,1
81,0.134279,0.0602786,164,74,2830,258,74,2498,0.0911661,0,0,0,1
82,0.133622,0.0636218,181,70,2830,293,70,2467,0.103534,0,0,0,1
83,0.139083,0.0670831,122,72,2830,177,72,2581,0.0625442,0,0,0,1
84,0.129475,0.060475,125,69,2830,188,69,2573,0.0664311,0,0,0,1
85,0.130473,0.0562401,123,74,2830,187,74,2569,0.0660777,0.000232438,0.00555555,1,0.999579
86,0.125945,0.0549454,134,71,2830,206,71,2553,0.0727915,0,0,0,1
87,0.143132,0.0531321,195,90,2830,306,90,2434,0.108127,0,0,0,1
88,0.137238,0.0542383,141,83,2830,214,83,2533,0.0756184,0,0,0,1
89,0.136053,0.0530528,159,83,2830,243,83,2504,0.0858657,0,0,0,1
90,0.137916,0.0609156,145,77,2830,220,77,2533,0.0777385,0,0,0,1
91,0.137774,0.0637743,130,74,2830,193,74,2563,0.0681979,0,0,0,1
92,0.124429,0.0584177,129,65,2830,195,65,2570,0.0689046,0.0010112,0.0569444,2,0.998525
93,0.132916,0.0559163,180,77,2830,287,77,2466,0.101413,0,0,0,1
94,0.139519,0.0575186,156,82,2830,234,82,2514,0.0826855,0,0,0,1
95,0.13791,0.0516777,159,86,2830,242,86,2502,0.0855124,0.000232438,0.00555556,1,0.999579
96,0.137693,0.0526931,178,85,2830,276,85,2469,0.0975265,0,0,0,1
97,0.141868,0.059868,195,82,2830,308,82,2440,0.108834,0,0,0,1
98,0.152191,0.0671911,134,85,2830,198,85,2547,0.0699647,0,0,0,1
99,0.130459,0.0524594,177,78,2830,281,78,2471,0.0992933,0,0,0,1
100,0.131349,0.064756,123,66,2830,185,66,2579,0.065371,0.000592986,0.1125,1,0.998085
