"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2,,5.932125,34.322618,0,741,0,184549377,yes,1.000000
1,,0.853247,4.825648,0,750,0,184549377,yes,1.000000
