"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
6,,58.737500,397.225000,0,1085,0,184549377,yes,1.000000
5,,52.251351,387.378378,0,1081,0,184549377,yes,1.000000
4,,49.807143,351.178571,0,1059,0,184549377,yes,1.000000
3,,49.362500,330.083333,0,1024,0,184549377,yes,1.000000
2,,13.186111,59.597222,0,796,0,184549377,yes,1.000000
1,,5.052273,16.500000,0,775,0,184549377,yes,1.000000
