"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,52026.8,26.7986,622,52,2830,1145,52,1633,0.404594,0,0,0,1
2,89033.8,33.7745,985,89,2830,1836,89,905,0.648763,0,0,0,1
3,43043,42.9841,1181,43,2830,2214,43,573,0.782332,0,0,0,1
4,69025.9,25.8991,820,69,2830,1545,69,1216,0.545936,0,0,0,1
5,68014.3,14.2765,658,68,2830,1222,68,1540,0.431802,0,0,0,1
6,84016.9,16.9345,686,84,2830,1258,84,1488,0.444523,0,0,0,1
7,13040.3,40.3149,1109,13,2830,2100,13,717,0.742049,0,0,0,1
8,60018.3,18.3295,408,60,2830,743,60,2027,0.262544,0,0,0,1
9,31016.5,16.4724,555,31,2830,1045,31,1754,0.369258,0,0,0,1
10,57015.6,15.5635,433,57,2830,790,57,1983,0.279152,0,0,0,1
11,39035.7,35.7208,977,39,2830,1842,39,949,0.650883,0,0,0,1
12,28031.2,31.2102,1056,28,2830,2005,28,797,0.708481,0,0,0,1
13,64021.8,21.8482,626,64,2830,1145,64,1621,0.404594,0,0,0,1
14,24040.1,40.0753,1043,24,2830,1955,24,851,0.690813,0,0,0,1
15,51025.1,25.1412,574,51,2830,1057,51,1722,0.373498,0,0,0,1
16,55038.7,38.6591,1250,55,2830,2352,55,423,0.831095,0,0,0,1
17,45031.7,31.6679,783,45,2830,1437,45,1348,0.507774,0,0,0,1
18,52010,10.0161,209,52,2830,370,52,2408,0.130742,0,0,0,1
19,56019.9,19.8657,608,56,2830,1132,56,1642,0.4,0,0,0,1
20,50017.9,17.9018,769,50,2830,1438,50,1342,0.508127,0,0,0,1
21,31019.9,19.9199,562,31,2830,1040,31,1759,0.367491,0,0,0,1
22,38034.7,34.7012,1007,38,2830,1885,38,907,0.666078,0,0,0,1
23,58030.9,30.91,956,58,2830,1810,58,962,0.639576,0,0,0,1
24,67012.2,12.1664,329,67,2830,572,67,2191,0.20212,0,0,0,1
25,30029.5,29.5218,836,30,2830,1562,30,1238,0.551943,0,0,0,1
26,38021.5,21.4929,907,38,2830,1714,38,1078,0.605654,0,0,0,1
27,33023.8,23.8386,891,33,2830,1689,33,1108,0.59682,0,0,0,1
28,68032.1,32.1002,1059,68,2830,1976,68,786,0.698233,0,0,0,1
29,42024.5,24.5252,616,42,2830,1133,42,1655,0.400353,0,0,0,1
30,62013.7,13.719,286,62,2830,502,62,2266,0.177385,0,0,0,1
31,60024.7,24.7313,767,60,2830,1409,60,1361,0.49788,0,0,0,1
32,34012.5,12.5177,540,34,2830,1019,34,1777,0.360071,0,0,0,1
33,54017,17.0151,290,54,2830,510,54,2266,0.180212,0,0,0,1
34,41020.4,20.405,903,41,2830,1720,41,1069,0.607774,0,0,0,1
35,39028.8,28.817,889,39,2830,1686,39,1105,0.59576,0,0,0,1
36,30014.9,14.9416,309,30,2830,559,30,2241,0.197527,0,0,0,1
37,38038.5,38.5463,1059,38,2830,1999,38,793,0.70636,0,0,0,1
38,48020.3,20.3391,562,48,2830,1036,48,1746,0.366078,0,0,0,1
39,49025.2,25.1674,524,49,2830,950,49,1831,0.335689,0,0,0,1
40,23029.9,29.9363,670,23,2830,1243,23,1564,0.439223,0,0,0,1
41,42018.8,18.8048,452,42,2830,808,42,1980,0.285512,0,0,0,1
42,58015.3,15.2868,854,58,2830,1602,58,1170,0.566078,0,0,0,1
43,54018.3,18.3444,465,54,2830,828,54,1948,0.29258,0,0,0,1
44,70032.4,32.4469,810,70,2830,1504,70,1256,0.531449,0,0,0,1
