"planning_unit","number"
217,53
216,53
215,53
214,53
213,53
212,53
211,53
210,53
209,53
208,62
207,62
204,62
203,62
201,53
200,53
199,53
198,53
195,62
194,65
192,58
191,54
190,54
189,52
188,52
187,52
186,52
185,52
184,52
183,51
182,53
181,53
179,53
177,53
176,53
175,53
174,53
173,53
172,51
171,52
170,52
169,52
168,53
167,53
166,53
165,53
164,53
163,53
162,53
161,53
160,53
159,53
158,53
157,52
156,53
155,53
153,53
152,53
143,56
140,49
135,56
134,56
133,57
132,56
131,56
130,56
129,56
128,56
127,57
126,57
124,49
123,49
121,49
120,49
119,49
118,49
117,57
116,57
115,56
114,56
113,56
112,56
109,56
108,56
107,56
106,56
105,57
104,57
103,49
102,49
101,49
100,49
99,49
98,49
97,49
96,49
91,76
89,72
86,49
85,49
84,49
83,49
82,49
81,49
78,50
76,50
75,50
74,51
71,53
70,53
69,53
68,56
67,50
66,49
65,49
64,49
63,49
62,53
61,53
60,49
59,49
58,49
57,49
56,49
55,49
54,49
53,52
52,52
51,52
50,52
49,49
48,49
47,49
46,49
45,49
44,49
43,52
42,52
41,52
40,52
39,52
38,52
37,49
36,49
35,49
34,49
33,52
32,52
31,52
30,52
29,52
28,49
26,49
25,49
24,49
23,49
22,51
21,51
20,51
19,52
18,52
17,52
16,52
14,49
13,52
12,52
11,52
10,52
9,52
8,52
7,52
6,52
5,52
4,52
3,52
2,72
1,74
