"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,1004.24,4.24464,25,10,474,57,10,407,0.120253,0,0,0,1
2,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
3,684.705,84.7047,96,6,474,254,6,214,0.535865,0,0,0,1
4,985.868,85.8676,123,9,474,338,9,127,0.71308,0,0,0,1
5,1024.66,24.6622,54,10,474,127,10,337,0.267932,0,0,0,1
6,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
7,1021.58,21.5832,36,10,474,88,10,376,0.185654,0,0,0,1
8,616.499,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
9,705.419,5.41909,10,7,474,12,7,455,0.0253165,0,0,0,1
10,740.041,40.0411,99,7,474,262,7,205,0.552743,0,0,0,1
11,817.689,17.6886,42,8,474,103,8,363,0.2173,0,0,0,1
12,910.036,10.0362,35,9,474,79,9,386,0.166667,0,0,0,1
13,1024.66,24.6622,54,10,474,127,10,337,0.267932,0,0,0,1
14,740.041,40.0411,99,7,474,262,7,205,0.552743,0,0,0,1
15,395.494,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
16,1589.97,89.9699,93,15,474,245,15,214,0.516878,0,0,0,1
17,395.494,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
18,395.494,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
19,705.419,5.41909,10,7,474,12,7,455,0.0253165,0,0,0,1
20,395.494,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
21,892.431,92.4311,134,8,474,363,8,103,0.765823,0,0,0,1
22,684.705,84.7047,96,6,474,254,6,214,0.535865,0,0,0,1
23,1004.24,4.24464,25,10,474,57,10,407,0.120253,0,0,0,1
24,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
25,616.499,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
26,1178.41,78.4065,97,11,474,257,11,206,0.542194,0,0,0,1
27,806.523,6.52331,12,8,474,16,8,450,0.0337553,0,0,0,1
28,1107.64,7.6411,25,11,474,56,11,407,0.118143,0,0,0,1
29,395.494,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
30,616.499,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
31,1294,94.0022,128,12,474,328,12,134,0.691983,0,0,0,1
32,684.705,84.7047,96,6,474,254,6,214,0.535865,0,0,0,1
33,625.415,25.4151,80,6,474,214,6,254,0.451477,0,0,0,1
34,1530.41,30.415,65,15,474,175,15,284,0.369198,0,0,0,1
35,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
36,906.609,6.60876,29,9,474,66,9,399,0.139241,0,0,0,1
37,985.868,85.8676,123,9,474,338,9,127,0.71308,0,0,0,1
38,705.419,5.41909,10,7,474,12,7,455,0.0253165,0,0,0,1
39,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
40,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
41,395.494,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
42,395.494,95.4937,157,3,474,424,3,47,0.894515,0,0,0,1
43,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
44,705.419,5.41909,10,7,474,12,7,455,0.0253165,0,0,0,1
45,910.036,10.0362,35,9,474,79,9,386,0.166667,0,0,0,1
46,1092.99,92.994,140,10,474,379,10,85,0.799578,0,0,0,1
47,1634.23,34.2336,101,16,474,259,16,199,0.546414,0,0,0,1
48,1011.04,11.0376,25,10,474,57,10,407,0.120253,0,0,0,1
49,616.499,16.4989,23,6,474,49,6,419,0.103376,0,0,0,1
50,817.689,17.6886,42,8,474,103,8,363,0.2173,0,0,0,1
51,684.705,84.7047,96,6,474,254,6,214,0.535865,0,0,0,1
52,1634.23,34.2336,101,16,474,259,16,199,0.546414,0,0,0,1
53,1131.17,31.171,78,11,474,203,11,260,0.42827,0,0,0,1
54,607.057,107.057,153,5,474,413,5,56,0.871308,0,0,0,1
55,607.057,107.057,153,5,474,413,5,56,0.871308,0,0,0,1
56,815.8,15.8005,22,8,474,48,8,418,0.101266,0,0,0,1
57,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
58,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
59,110.12,110.12,176,0,474,474,0,0,1,0,0,0,1
60,985.868,85.8676,123,9,474,338,9,127,0.71308,0,0,0,1
61,817.689,17.6886,42,8,474,103,8,363,0.2173,0,0,0,1
62,625.415,25.4151,80,6,474,214,6,254,0.451477,0,0,0,1
63,1128.48,28.4777,103,11,474,270,11,193,0.56962,0,0,0,1
