"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
6,,58.737500,85.700000,0,366,0,184549377,yes,1.000000
5,,52.251351,83.108108,0,367,0,184549377,yes,1.000000
4,,49.807143,89.142857,0,368,0,184549377,yes,1.000000
3,,49.362500,55.875000,0,377,0,184549377,yes,1.000000
2,,13.186111,53.444444,0,793,0,184549377,yes,1.000000
1,,5.052273,11.863636,0,791,0,184549377,yes,1.000000
